"Subj","#","Title","Comp Numb","Sec","Lec Lab","Start Time","End Time","Days","Credits","Bldg","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"ABIO","6010","ABIO Graduate Journal Club","93191","A","LEC","10:05","10:55","T","1","","","K. Creutzinger","0","0","",""
"ABIO","6391","Master's Thesis Research","93192","A","TD","TBA","TBA","","1 to 18","","","J. Barlow","0","0","",""
"ABIO","6391","Master's Thesis Research","93193","B","TD","TBA","TBA","","1 to 18","","","J. Kraft","0","0","",""
"ABIO","6391","Master's Thesis Research","93194","D","TD","TBA","TBA","","1 to 18","","","J. Smith","0","0","",""
"ABIO","6391","Master's Thesis Research","93195","F","TD","TBA","TBA","","1 to 18","","","F. Zhao","0","0","",""
"ABIO","6391","Master's Thesis Research","93217","G","TD","TBA","TBA","","1 to 18","","","M. Guo","0","0","",""
"ABIO","6391","Master's Thesis Research","93218","H","TD","TBA","TBA","","1 to 18","","","A. Etter","0","0","",""
"ABIO","6391","Master's Thesis Research","93651","I","TD","TBA","TBA","","1 to 18","","","J. Costa","0","0","",""
"ABIO","6391","Master's Thesis Research","93823","J","TD","TBA","TBA","","1 to 18","","","S. Nallasamy","0","0","",""
"ABIO","6391","Master's Thesis Research","94755","K","TD","TBA","TBA","","1 to 18","","","F. Machado de Sant'Anna","0","0","",""
"ABIO","6391","Master's Thesis Research","94756","L","TD","TBA","TBA","","1 to 18","","","K. Creutzinger","0","0","",""
"ABIO","6990","Crafting Research Proposals","95386","A","LEC","12:00","12:50","M W F","3","","","J. Kraft","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","92724","A","TD","TBA","TBA","","1 to 18","","","J. Barlow","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","92722","B","TD","TBA","TBA","","1 to 18","","","J. Kraft","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","92725","D","TD","TBA","TBA","","1 to 18","","","J. Smith","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","92726","F","TD","TBA","TBA","","1 to 18","","","F. Zhao","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","92723","G","TD","TBA","TBA","","1 to 18","","","M. Guo","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","93059","H","TD","TBA","TBA","","1 to 18","","","A. Etter","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","93730","I","TD","TBA","TBA","","1 to 18","","","J. Costa","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","93824","J","TD","TBA","TBA","","1 to 18","","","S. Nallasamy","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","94215","K","TD","TBA","TBA","","1 to 18","","","C. Skinner","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","94757","L","TD","TBA","TBA","","1 to 18","","","K. Creutzinger","0","0","",""
"ABIO","7491","Doctoral Dissertation Research","94758","M","TD","TBA","TBA","","1 to 18","","","F. Machado de Sant'Anna","0","0","",""
"ANTH","1100","Cultural Anthropology","94699","A","LEC","09:40","10:30","M W F","3","","","L. Vivanco","0","0","D2|S1|SU",""
"ANTH","1190","Global Health Devel & Diversit","93253","A","LEC","13:10","14:00","M W F","3","","","J. Shea","0","0","D2|GC1|SU",""
"ANTH","1600","Linguistic Anthropology","94211","A","LEC","13:10","14:00","M W F","3","","","M. Morgenstern","0","0","D2|S1",""
"ANTH","1800","Archaeological Anthropology","91582","A","LEC","14:50","16:05","T R","3","","","S. Van Keuren","0","0","D2|S1|SU",""
"ANTH","2110","Black Feminist Anthropology","95680","A","LEC","13:10","14:00","M W F","3","","","M. Martin","0","0","","ANTH 1100"
"ANTH","2170","Culture, Health and Healing","95682","A","LEC","14:50","16:05","T R","3","","","E. Kozelka","0","0","D2|GC1|S1","ANTH 1100 , ANTH 1190 , or three hours of Sociology"
"ANTH","2172","Psychological Anthropology","95968","A","LEC","11:40","12:55","T R","3","","","E. Kozelka","0","0","","ANTH 1100 or ANTH 1190"
"ANTH","2191","Foundations of Global Health","96094","A","LEC","13:15","14:30","T R","3","","","N. Barclay-Derman","0","0","D2|GC1","Minimum Sophomore standing"
"ANTH","2440","Primates and Anthropology","95681","A","LEC","17:05","18:20","M W","3","","","D. Blom","0","0","WIL2","ANTH 1100 or ANTH 1400"
"ANTH","2990","Birth, Sex, Death","96149","A","LEC","15:30","16:45","M W","3","","","D. Blom","0","0","",""
"ANTH","2991","Internship","91823","A","IND","TBA","TBA","","1 to 18","","","L. Vivanco","0","0","","Instructor permission"
"ANTH","2994","Teaching Assistantship","91584","A","IND","TBA","TBA","","1 to 3","","","L. Vivanco","0","0","","Instructor permission"
"ANTH","2995","Undergraduate Research","91583","A","TD","TBA","TBA","","1 to 18","","","L. Vivanco","0","0","","Instructor permission"
"ANTH","3000","Advanced Proseminar in Anthro","92585","A","SEM","16:35","19:35","T","1","","","E. Kozelka","0","0","","Anthropology major; minimum Junior standing"
