"Subj","#","Title","Comp Numb","Sec","Lec Lab","Start Time","End Time","Days","Credits","Bldg","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"ABIO","6010","ABIO Graduate Journal Club","93191","A","LEC","10:05","10:55","T","1","","","K. Creutzinger","20","4","",""
"ABIO","6391","Master's Thesis Research","93192","A","TD","TBA","TBA","","1 to 18","","","J. Barlow","12","0","",""
"ABIO","6391","Master's Thesis Research","93193","B","TD","TBA","TBA","","1 to 18","","","J. Kraft","12","0","",""
"ABIO","6391","Master's Thesis Research","93194","D","TD","TBA","TBA","","1 to 18","","","J. Smith","12","1","",""
"ABIO","6391","Master's Thesis Research","93195","F","TD","TBA","TBA","","1 to 18","","","F. Zhao","12","0","",""
"ABIO","6391","Master's Thesis Research","93217","G","TD","TBA","TBA","","1 to 18","","","M. Guo","12","0","",""
"ABIO","6391","Master's Thesis Research","93218","H","TD","TBA","TBA","","1 to 18","","","A. Etter","12","0","",""
"ABIO","6391","Master's Thesis Research","93651","I","TD","TBA","TBA","","1 to 18","","","J. Costa","12","0","",""
"ABIO","6391","Master's Thesis Research","93823","J","TD","TBA","TBA","","1 to 18","","","S. Nallasamy","12","0","",""
"ABIO","6391","Master's Thesis Research","94755","K","TD","TBA","TBA","","1 to 18","","","F. Machado de Sant'Anna","12","0","",""
"ABIO","6391","Master's Thesis Research","94756","L","TD","TBA","TBA","","1 to 18","","","K. Creutzinger","12","0","",""
"ABIO","6990","Crafting Research Proposals","95386","A","LEC","12:00","12:50","M W F","3","","","J. Kraft","20","3","",""
"ABIO","7491","Doctoral Dissertation Research","92722","B","TD","TBA","TBA","","1 to 18","","","J. Kraft","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","92723","G","TD","TBA","TBA","","1 to 18","","","M. Guo","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","92724","A","TD","TBA","TBA","","1 to 18","","","J. Barlow","20","1","",""
"ABIO","7491","Doctoral Dissertation Research","92725","D","TD","TBA","TBA","","1 to 18","","","J. Smith","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","92726","F","TD","TBA","TBA","","1 to 18","","","F. Zhao","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","93059","H","TD","TBA","TBA","","1 to 18","","","A. Etter","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","93730","I","TD","TBA","TBA","","1 to 18","","","J. Costa","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","93824","J","TD","TBA","TBA","","1 to 18","","","S. Nallasamy","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","94215","K","TD","TBA","TBA","","1 to 18","","","C. Skinner","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","94757","L","TD","TBA","TBA","","1 to 18","","","K. Creutzinger","20","0","",""
"ABIO","7491","Doctoral Dissertation Research","94758","M","TD","TBA","TBA","","1 to 18","","","F. Machado de Sant'Anna","20","0","",""
"ALE","1100","Home & Garden Horticulture","93961","OL1","X","16:25","17:40","T R","3","","","M. Starrett","200","18","",""
"ALE","1150","Home & Garden Horticulture Lab","93962","A01","LAB","12:10","15:10","W","1","","","M. Starrett","21","4","",""
"ALE","1150","Home & Garden Horticulture Lab","93963","A02","LAB","12:10","15:10","F","1","","","M. Starrett","21","3","",""
"ALE","1210","Intro to Agroecology","93964","A","LEC","13:10","14:00","M W F","3","","","V. Izzo","180","13","N1|SU",""
"ALE","1360","Illustrating Botanicals","93965","A","LEC","12:15","15:15","F","3","","","N. Zahn","15","15","AH1","Junior/Senior Standing"
"ALE","1990","Home Fruit Growing","95658","OL1","X","TBA","TBA","","2","","","L. Perry","40","30","",""
"ALE","1990","ELPD Seminar I","96106","OL2","1","TBA","TBA","","2","","","A. White","20","2","",""
"ALE","1990","ELPD Seminar II","96108","OL3","2","TBA","TBA","","2","","","M. Starrett","20","3","",""
"ALE","2060","Entomology & Pest Mgmt","93966","A","LEC","14:50","16:05","T R","4","","","Y. Chen","36","7","","BIOL 1400 and BIOL 1450 , or BCOR 1400 and BCOR 1450 , or BCOR 1425"
"ALE","2060","Entomology & Pest Mgmt","93967","A01","LAB","08:30","11:30","M","4","","","Y. Chen","20","4","","BIOL 1400 and BIOL 1450 , or BCOR 1400 and BCOR 1450 , or BCOR 1425"
"ALE","2060","Entomology & Pest Mgmt","93968","A02","LAB","08:30","11:30","W","4","","","Y. Chen","16","3","","BIOL 1400 and BIOL 1450 , or BCOR 1400 and BCOR 1450 , or BCOR 1425"
"ALE","2120","Weed Ecology & Management","93969","A","V","09:40","12:40","W","3","","","E. Wilson","24","21","","ALE 1100 , ALE 1210 , PBIO 1040 , or Instructor permission"
"ALE","2170","Plant Pathology","93970","A","Z","14:20","15:10","M W F","4","","","T. Delaney","31","3","","PBIO 1040 , or BIOL 1400 and BIOL 1450 , or BCOR 1400 and BCOR 1450 , or BCOR 1425 , or Instructor permission"
"ALE","2170","Plant Pathology","96084","A01","LAB","09:00","12:00","F","4","","","T. Delaney","20","3","","PBIO 1040 , or BIOL 1400 and BIOL 1450 , or BCOR 1400 and BCOR 1450 , or BCOR 1425 , or Instructor permission"
"ALE","2170","Plant Pathology","96085","A02","LAB","09:00","12:00","F","4","","","T. Delaney","20","0","","PBIO 1040 , or BIOL 1400 and BIOL 1450 , or BCOR 1400 and BCOR 1450 , or BCOR 1425 , or Instructor permission"
"ALE","2210","Indoor Plants","93971","OL1","X","TBA","TBA","","1","","","L. Perry","50","14","","ALE 1100 , ALE 1210 , one semester of Biology, or Instructor permission"
"ALE","2230","Garden Flowers","93972","OL1","X","TBA","TBA","","3","","","L. Perry","50","12","","ALE 1100 , ALE 1210 , one semester of Biology, or Instructor permission"
"ALE","2250","Woody Landscape Plants","93975","A","Z","10:05","14:20","T R","4","","","M. Starrett","25","14","","PBIO 1040 or ALE 1100 , or ALE 1210 , or ALE 1370 or BIOL 1400 or BIOL 1450 or BCOR 1400 or BCOR 1450 or FOR 1210 or Instructor permission"
"ALE","2370","Landscape Design Fundamentals","93976","A","LEC","13:15","14:30","T R","3","","","S. Hurley","78","27","","ALE 1370 , ALE 1100 , ALE 1210 , ENVS 1510 , ENVS 1520 , NR 1010 , NR 1020 , or CDAE 1010 ; minimum Sophomore standing; or Instructor permission"
"ALE","2371","SL:Landscape Design Studio","93977","A","LAB","12:00","15:00","M","3","","","A. White","20","10","AH1|SL","Minimum Sophomore standing; ALE 2370 , ALE 2560 , ARTS 1010 , CDAE 1160 , or Instructor permission"
"ALE","2371","SL:Landscape Design Studio","93978","B","LAB","12:00","15:00","W","3","","","A. White","20","6","AH1|SL","Minimum Sophomore standing; ALE 2370 , ALE 2560 , ARTS 1010 , CDAE 1160 , or Instructor permission"
"ALE","2560","Permaculture","94029","OL1","X","TBA","TBA","","3","","","A. White","78","29","N1|SU","ALE 1100 , ALE 1210 , BIOL 1450 , NR 2030 , BCOR 1450 , BCOR 2100 , or a basic ecology course"
"ALE","2610","Fundamentals of Soil Science","93979","A","V","08:30","09:45","T R","4","","","J. Gorres","96","79","SU","ALE 1100 , ALE 1210 , ALE 1370 , ENSC 1010 , or CE 1000"
"ALE","2610","Fundamentals of Soil Science","93980","A01","LAB","08:30","12:35","M","4","","","J. Gorres","24","16","SU","ALE 1100 , ALE 1210 , ALE 1370 , ENSC 1010 , or CE 1000"
"ALE","2610","Fundamentals of Soil Science","93981","A02","LAB","13:10","17:15","M","4","","","J. Gorres","24","21","SU","ALE 1100 , ALE 1210 , ALE 1370 , ENSC 1010 , or CE 1000"
"ALE","2610","Fundamentals of Soil Science","93982","A03","LAB","13:15","17:20","T","4","","","J. Gorres","24","24","SU","ALE 1100 , ALE 1210 , ALE 1370 , ENSC 1010 , or CE 1000"
"ALE","2610","Fundamentals of Soil Science","93983","A04","LAB","13:15","17:20","R","4","","","J. Gorres","24","18","SU","ALE 1100 , ALE 1210 , ALE 1370 , ENSC 1010 , or CE 1000"
"ALE","2990","Regenerative Grazing","95520","A","LEC","13:10","17:00","M","3","","","J. Alvez","24","10","",""
"ALE","2991","Internship","93984","A","IND","TBA","TBA","","1 to 18","","","M. Starrett","15","0","",""
"ALE","2991","Internship","93985","B","IND","TBA","TBA","","1 to 18","","","Y. Chen","15","0","",""
"ALE","2991","Int:Catamount Farm","93986","C","IND","TBA","TBA","","1 to 18","","","T. Bradshaw","15","2","",""
"ALE","2991","Int:Entomology","94202","D","IND","TBA","TBA","","1 to 18","","","C. Sullivan","1","0","",""
"ALE","2991","Int:Bee Lab","94203","E","IND","TBA","TBA","","1 to 18","","","S. Alger","3","0","",""
"ALE","2991","Int:Biocontrol & Microbiomes","95209","F","IND","TBA","TBA","","1 to 18","","","M. Nouri Aiin","2","0","",""
"ALE","2991","Int:Science Comm & Outreach","95210","G","IND","TBA","TBA","","1 to 18","","","M. Nouri Aiin","3","0","",""
"ALE","2991","Internship","95211","H","IND","TBA","TBA","","1 to 18","","","V. Izzo","5","0","",""
"ALE","2991","Int:Plant Diagnostic Clinic","95274","I","IND","TBA","TBA","","1 to 18","","","A. Hazelrigg","2","0","",""
"ALE","2991","Int:Landscape Design","96321","J","IND","TBA","TBA","","1 to 18","","","A. White","3","0","",""
"ALE","2993","IS:Biocontrol & Microbiomes","95225","A","TD","TBA","TBA","","1 to 18","","","M. Nouri Aiin","3","0","",""
"ALE","2993","IS:Soil Morphology","96294","B","TD","TBA","TBA","","1 to 18","","","J. Gorres","3","1","",""
"ALE","2993","IS: Landscape Design","96323","C","TD","TBA","TBA","","1 to 18","","","A. White","1","0","",""
"ALE","2994","Lab TA Woody Landscape Plants","93988","A","IND","TBA","TBA","","1 to 3","","","M. Starrett","5","0","",""
"ALE","2994","Lab TA Weed Ecology","93989","B","8","TBA","TBA","","1 to 3","","","T. Bradshaw","5","1","",""
"ALE","2994","Lab TA Home and Garden Hort","93990","C","9","TBA","TBA","","1 to 3","","","M. Starrett","5","0","",""
"ALE","2994","TA:Entomology & Pest Mgmt","93991","D","U","TBA","TBA","","1 to 3","","","Y. Chen","2","0","",""
"ALE","2994","TA:Landscape Design Studio","94245","E","IND","TBA","TBA","","1 to 3","","","A. White","1","0","",""
"ALE","2994","TA:Landscape DsgnFundamentals","94247","F","IND","TBA","TBA","","1 to 3","","","S. Hurley","1","0","",""
