"Subj","#","Title","CRN","Sec","Type","Start Time","End Time","Days","Credits","Building","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"AAS","421","Large Animal Behavior and Handling Techniques","11123","01","LEC","08:10","09:00","T","2","COLE","C219","Conroy, Andrew B","20","0","",""
"AAS","421","Large Animal Behavior and Handling Techniques","12181","02","LEC","08:10","09:00","T","2","COLE","C219","Conroy, Andrew B","20","0","",""
"AAS","421","Large Animal Behavior and Handling Techniques","11955","03","LEC","08:10","09:00","T","2","COLE","C219","Conroy, Andrew B","20","0","",""
"AAS","432","Introduction to Forage and Grassland Management","11081","01","LEC","12:10","13:00","MW","3","BART","B128","Conroy, Andrew B","30","0","",""
"AAS","597","Applied Animal Science Work Experience","11410","01","PRA","Hours Arranged","TBA","TBA","0","TBA","","Conroy, Andrew B","15","0","",""
"ACC","501","Survey of Accounting","12336","01","LEC","17:10","20:00","T","4","PCBE","175","Robinson, Ian Christopher","65","0","",""
"ACC","621","Intermediate Financial Accounting I","13253","01","LEC","09:40","11:00","MW","4","PCBE","G25","Ragland, Linda G","30","0","","ADMN 502 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","621","Intermediate Financial Accounting I","13254","02","LEC","08:10","09:30","MW","4","PCBE","G25","Ragland, Linda G","30","0","","ADMN 502 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","621","Intermediate Financial Accounting I","13255","03","LEC","15:40","17:00","TR","4","PCBE","235","Xu, Le Emily","30","0","","ADMN 502 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","622","Intermediate Financial Accounting II","13296","01","LEC","11:10","12:30","MW","4","PCBE","135","Bens, Daniel Arthur","30","0","","ACC 621 with minimum grade of C- or ACFI 621 with minimum grade of C- or ACC 721 with minimum grade of C-"
"ACC","622","Intermediate Financial Accounting II","14254","02","LEC","14:10","15:30","MW","4","MURK","202","Bens, Daniel Arthur","30","0","","ACC 621 with minimum grade of C- or ACFI 621 with minimum grade of C- or ACC 721 with minimum grade of C-"
"ACC","623","Advanced Managerial Accounting","13256","01","LEC","15:40","17:00","MW","4","PCBE","225","Cha, Yunshil","30","0","","ADMN 503 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","623","Advanced Managerial Accounting","13257","02","LEC","14:10","15:30","MW","4","PCBE","225","Cha, Yunshil","30","0","","ADMN 503 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","626","Introduction to Federal Taxation","13258","01","LEC","09:40","11:00","TR","4","PCBE","235","Hasseldine, John John","30","0","","ADMN 502 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","626","Introduction to Federal Taxation","14378","02","LEC","11:10","12:30","TR","4","PCBE","G25","Hasseldine, John John","30","0","","ADMN 502 with minimum grade of C- or ACC 520 with minimum grade of C-"
"ACC","627","Financial Statement Analysis","13259","01","LEC","14:10","15:30","TR","4","PARS","N114","TBA","30","0","","ACC 621 with minimum grade of C- May be taken concurrently or ACC 721 with minimum grade of C- May be taken concurrently or ACFI 721 with minimum grade of C- May be taken concurrently"
"ACC","724","Auditing","12348","01","LEC","15:40","17:00","MW","4","PCBE","135","Berube, Scott R","30","0","WRIT","ACFI 621 with minimum grade of C- May be taken concurrently or ACC 721 with minimum grade of C- May be taken concurrently or ACC 621 with minimum grade of C- May be taken concurrently"
"ACC","724","Auditing","14379","02","LEC","12:40","14:00","MW","4","PCBE","135","Berube, Scott R","30","0","WRIT","ACFI 621 with minimum grade of C- May be taken concurrently or ACC 721 with minimum grade of C- May be taken concurrently or ACC 621 with minimum grade of C- May be taken concurrently"
"ACC","747","Business Law","12816","01","LEC","17:10","20:00","W","4","PCBE","185","Hand, Thomas P.","50","0","",""
"ACCT","532","Financial Accounting","15347","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Frederico, Carmen J","30","0","","MTH 402 or MATH 502G"
"ACCT","533","Managerial Accounting","13356","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Frederico, Carmen J","30","0","","( MGMT 410 or MGMT 500G or MGMT 566 or MGMT 566G ) and ( ACCT 532 or ACCT 511G or MGMT 511G )"
"ACCT","550","Accounting Information Systems","13357","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Ramlall, Padma","30","0","","ACCT 532 or ACCT 511G or MGMT 511G"
"ACCT","600","Intermediate Accounting I","13358","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Morgan, Laura","30","0","","( ACCT 532 or ACCT 511G or MGMT 511G ) and ( ACCT 533 or ACCT 515G or MGMT 510G )"
"ACCT","600","Intermediate Accounting I","15348","02","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Morgan, Laura","30","0","","( ACCT 532 or ACCT 511G or MGMT 511G ) and ( ACCT 533 or ACCT 515G or MGMT 510G )"
"ACCT","601","Intermediate Accounting II","13359","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Morgan, Laura","30","0","","( ACCT 532 or ACCT 511G or MGMT 511G ) and ( ACCT 533 or ACCT 515G or MGMT 510G ) and ( ACCT 600 or ACCT 600G )"
"ACCT","629","Cost Accounting","13360","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Frederico, Carmen J","30","0","","( ACCT 532 or ACCT 511G or MGMT 511G ) and ( ACCT 533 or ACCT 515G or MGMT 510G ) and ( FNC 665 or MGMT 613G )"
"ACCT","635","Taxation","13361","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Morgan, Laura","30","0","","( ACCT 532 or ACCT 511G or MGMT 511G ) and ( ACCT 533 or ACCT 515G or MGMT 510G ) and ( ACCT 600 or ACCT 600G ) and ( ACCT 601 or ACCT 601G )"
"ACCT","730","Advanced Data Analytics for Accounting Professionals","15092","01","LEC","Hours Arranged","TBA","TBA","4","ONLINE","","Ramlall, Padma","30","0","","ACCT 550 or ACCT 550G"
"ACFI","801","Corporate Finance","12373","01","LEC","11:10","12:30","R","3","PETT","G02","Liu, Yixin","20","0","","FIN 501 or ADMN 570 or ADMN 930 with minimum grade of B-"
"ACFI","802","Investments","12374","01","LEC","09:40","11:00","TR","3","PARS","N116","Ciccone, Stephen J","20","0","","FIN 501 or ADMN 570 or ADMN 930 with minimum grade of B-"
"ACFI","806","Financial Modeling and Analytics","15237","01","LEC","11:10","12:30","MW","3","MURK","203","Miletkov, Mihail K.","20","0","","ACFI 801 with minimum grade of B- May be taken concurrently and ACFI 802 with minimum grade of B- May be taken concurrently"
"ACFI","820","Corporate Taxation","10655","01","LEC","14:10","15:30","TR","3","PCBE","235","Dupuis, Melanie","30","0","","ACC 626"
"ACFI","820","Corporate Taxation","15756","02","LEC","12:40","14:00","TR","3","PCBE","235","Dupuis, Melanie","30","0","","ACC 626"
"ACFI","825","Ethics and Non-Profit Accounting","12113","01","LEC","12:40","14:00","MW","3","PCBE","235","Ragland, Linda G","30","0","","ACC 621 and ACC 622"
"ACFI","835","Governmental Accounting","12114","01","LEC","15:40","17:00","MW","3","PCBE","235","Ragland, Linda G","35","0","","ACC 621 and ACC 622"
"ACFI","844","Topics in Advanced Accounting","10546","01","LEC","11:10","12:30","TR","3","PCBE","225","Hossain, Md Safayat","30","0","","ACC 621 and ACC 622"
"ACFI","850","Accounting Theory and Research","14380","01","LEC","09:40","11:00","MW","3","PCBE","235","Bens, Daniel Arthur","30","0","",""
"ACFI","860","Advanced Business Law","12012","01","LEC","17:10","20:00","T","3","PCBE","235","Hand, Thomas P.","30","0","","ACC 747 or MGT 647"
"ACFI","872","Corporate Financial Reporting","12184","01","LEC","08:10","09:30","MW","3","PCBE","235","James, Marianne Ludwina","20","0","",""
"ACFI","873","Cases in Finance","13049","02","LEC","09:40","11:00","TR","3","PCBE","G93","Liu, Yixin","20","0","","ACFI 801 with minimum grade of B- May be taken concurrently and ACFI 802 with minimum grade of B- May be taken concurrently"
"ACFI","874","Finance Experience","13050","01","LEC","15:40","17:00","TR","3","PCBE","G93","TBA","20","0","","ACFI 801 with minimum grade of B- May be taken concurrently and ACFI 802 with minimum grade of B- May be taken concurrently"
"ADMN","401W","Introduction to Responsible Business Management","14985","01","LEC","09:10","10:00","MWF","4","PCBE","165","Clark, Kimberly B","70","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","14993","02","LEC","09:10","10:00","MWF","4","PCBE","165","Clark, Kimberly B","10","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","14986","03","LEC","08:10","09:00","MWF","4","PCBE","165","Clark, Kimberly B","60","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","14994","04","LEC","08:10","09:00","MWF","4","PCBE","165","Clark, Kimberly B","20","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","14995","05","LEC","08:10","09:30","TR","4","PCBE","165","France, Kimberly Daniels","70","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","15000","06","LEC","08:10","09:30","TR","4","PCBE","165","France, Kimberly Daniels","10","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","14997","11","LEC","14:10","15:30","TR","4","PCBE","165","France, Kimberly Daniels","70","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","15002","12","LEC","14:10","15:30","TR","4","PCBE","165","France, Kimberly Daniels","10","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","15053","13","LEC","12:40","14:00","MW","4","PCBE","165","Hatch, Deni","60","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","15064","14","LEC","12:40","14:00","MW","4","PCBE","165","Hatch, Deni","20","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","14998","15","LEC","14:10","15:30","MW","4","PCBE","165","Hatch, Deni","70","0","WRIT",""
"ADMN","401W","Introduction to Responsible Business Management","15003","16","LEC","14:10","15:30","MW","4","PCBE","165","Hatch, Deni","10","0","WRIT",""
"ADMN","403","Computing Essentials for Business","10495","01","LEC","Hours Arranged","TBA","TBA","0","ONLINE","","Silverman, Daniel S","350","0","",""
"ADMN","403","Computing Essentials for Business","11558","02","LEC","Hours Arranged","TBA","TBA","0","ONLINE","","Silverman, Daniel S","350","0","",""
"ADMN","410","Management Information Systems","10547","01","LEC","14:10","15:30","TR","0","PCBE","G85","Kim, Inchan","50","0","","ADMN 403 May be taken concurrently"
"ADMN","410","Management Information Systems","10548","02","LEC","08:10","09:30","TR","0","PCBE","185","Clark, Maryann","50","0","","ADMN 403 May be taken concurrently"
"ADMN","410","Management Information Systems","12529","03","LEC","11:10","12:30","TR","0","PCBE","G85","Clark, Maryann","50","0","","ADMN 403 May be taken concurrently"
"ADMN","410","Management Information Systems","12252","04","LEC","11:10","12:30","MW","0","PCBE","115","Wang, Yifei","50","0","","ADMN 403 May be taken concurrently"
"ADMN","410","Management Information Systems","11223","05","LEC","17:10","20:00","T","0","PCBE","165","Talbot, Jared K","50","0","","ADMN 403 May be taken concurrently"
"ADMN","502","Financial Accounting","10507","01","LEC","08:10","09:30","TR","4","PCBE","175","Root, Kelly J","65","0","",""
"ADMN","502","Financial Accounting","10508","02","LEC","09:40","11:00","MW","4","HS","140","Root, Kelly J","65","0","",""
"ADMN","502","Financial Accounting","10509","04","LEC","11:10","12:30","TR","4","PCBE","175","Berube, Scott R","65","0","",""
"ADMN","502","Financial Accounting","10640","05","LEC","09:40","11:00","TR","4","PCBE","175","Berube, Scott R","65","0","",""
"ADMN","502","Financial Accounting","10641","06","LEC","14:10","15:30","TR","4","PCBE","175","Berube, Scott R","65","0","",""
"ADMN","502","Financial Accounting","13051","07","LEC","10:10","11:00","MWF","4","PCBE","175","Ragland, James","65","0","",""
"ADMN","502","Financial Accounting","13052","08","LEC","12:10","13:00","MWF","4","PCBE","185","Ragland, James","65","0","",""
"ADMN","502","Financial Accounting","13632","09","LEC","12:40","14:00","MW","4","PCBE","G85","Root, Kelly J","65","0","",""
"ADMN","503","Managerial Accounting","10571","01","LEC","14:10","15:30","MW","0","PCBE","G75","Root, Kelly J","65","0","","ADMN 502 with minimum grade of C-"
"ADMN","503","Managerial Accounting","12253","03","LEC","09:10","10:00","MWF","0","PCBE","175","Ragland, James","65","0","","ADMN 502 with minimum grade of C-"
"ADMN","510","Business Analytics and Statistics","12314","01","LEC","09:10","10:00","MWF","4","PCBE","185","Franklin, John J","50","0","QR","ADMN 403 and ( MATH 420 or MATH 422 or MATH 424A or MATH 424B or MATH 425 )"
"ADMN","510","Business Analytics and Statistics","12315","02","LEC","10:10","11:00","MWF","4","PCBE","185","Franklin, John J","50","0","QR","ADMN 403 and ( MATH 420 or MATH 422 or MATH 424A or MATH 424B or MATH 425 )"
